tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,nChamps
GRANDMASTER,55L41_VuTOIwmjWpArz5vtttqzOBFPsibgUOie6vI1i7x2a1wl4J9sIprQ,bilibili XJ,555,374,315,False,False,True,False,0RTaM3xZZOHk60qZAa9u2-pcbqWytfSJG4ACrsgGZElXGXUBgwygB4oW,10
GRANDMASTER,l_FvawpE1fXXxrvfZSDwZXWNSv1a51ygsBxY8IshfGfOxjA,lin shu hao,329,253,238,True,False,False,False,d0QqIVNBrndhIF7HJ07Et65rck8jgBuGSnDAz3Rze7ucxzEBR8P-aHgf,11
GRANDMASTER,ELhkKeU60I6bL2N815C-lZe9ngwvFj4oFs6MsfK_4A-uZ_U,꿍아가,345,353,331,False,False,False,False,l2r7eDwYgbec47c5I-GilWhB545fgDiDPoqUbWEK_Qt5KWc,11
GRANDMASTER,oFGKkhBiRfKpAMgVQdtiLDBvwauFxGJdYKA-unpK6_qaF5yAugXVZvPEYA,IG 1749193239,463,271,229,False,False,False,False,ybVdteomcHdN_U7sgtgfgtcY2KXMWRzcHnyP6jkWSzb_IWyY00WRPMC3,7
GRANDMASTER,LW8DWftVPjsEGfxy5CLp3SMFWyiG2dJoiqzv7XAcZCms5p-ufTwpHtfk3A,sensensensen,420,107,75,False,False,True,False,XTQbT9yNVVksWbdfjdPdoPDjvHmkqOR0Kl4ATcGkWcl71M7yqeUYCUiQ,4
GRANDMASTER,HJ9k3LjEpG1MJMI_PC6RhbqiZzsPmuMWef_IlBYmwv9kcMA-4unqW9KS8Q,상현의 1 엘림,282,344,316,True,False,False,False,s13LsEVUFR-hPvp3f1hXb8KqY8JBCe-AKG0Qc8sjKI5XQtsLTwvU1b_S,15
GRANDMASTER,WBVEMvfS6ABPqdQGbOcLYSJqhK5_4rZ4Xf6w-lJGBj2pFeE,FATE,503,165,133,False,False,True,False,oDPeUIuex3x-_VUR98QtxmgeW6HLb6i7ETDi2IFwWmfI72c,10
GRANDMASTER,zXH4-m80huVj9uJBD6zZ5xcw1Kb7EpKY6Wyjk_xhMUdJAnllfQSXoEP_ag,pullyourself,453,428,390,True,False,False,True,pGHGlnFxSu3kA7MOI_Qx8DHzfeL3yykV3COsKUABanOzfsFBnhT0vU_Y,10
GRANDMASTER,j_uhoDO1zUL4RG9OfxS21sNBsPli2cJPGXOAN4qZvmQQl9E,Viper C,300,468,428,True,False,False,False,_r2QP9uP59ZOP8lPyTkJkdpUhvI4CdjPmCE0zs3ppqgt8MZnu0RiXUDU,9
GRANDMASTER,NTnTP536Nb22sL2eCH5CG4knSdVjNrA2u1uorT2wkH6dGcI,카이팅,369,157,138,False,False,False,True,2nNi_X5j_bvUgxUcX3_etWrCZlyeWqgYKh6XlFOQL2w04UUVDiFbYUY-,6
GRANDMASTER,8tVl0wwRmn_7MDUCiZQEqF8kS08ALHQwUcOuVUugULld2l8DCQmRaojQyg,못할수도있지 너네는 항상잘하니,477,151,115,True,False,False,False,3JaQo7uGzKhNLVrPharCP_GVoGgRs3VRgEaq_NwGRcFiwAMDKT1p2xy6,6
GRANDMASTER,H5IYhmfSSJ3F4URzzlS6TEQG4r5n9N-y2HMnZbYqP2VxMcA,20020423,309,419,402,False,False,False,False,XWnR8HdVBLYH0JnI6-V0-zPDpc8WS-0UptuIWKvKi458HGnY-1VEZjzj,9
GRANDMASTER,X5UAWTX7JpEIWn3dY7D0qalHW17qsQJi9SXL6I7T2KK2cbBvWyMTa79Xeg,ROADMASTERKlNG,253,102,65,False,False,True,False,e0YJkqGeAxDR2UTXzf8wtzYpMQq6iHNxVr_mJwZvNATuoTjNTUwAkG7p,4
GRANDMASTER,NcxBhfjt-4ru0aAKKDAWV7xL7kxa-UwZg9LyPzAz3mY364I,Liiv Route,616,395,337,False,False,True,False,NCIZQEv0YTdSqohGWE0-ZRmwKqNQctvSy32wajbBNDq923Y,8
GRANDMASTER,tZS-zfWtuZ8vZl6IljfQXIKRDwtxUA15i4c8Vn6j5tCUzyg,LaP1s ,472,276,243,True,False,False,True,ruznGN7jPoLlk_Od4lcHzUDvTskuBF6fX-eRjMkPMzM0Sc0acA41Wmxh,10
GRANDMASTER,v9DZhAZc9zYe1RJyiBIVPYNrsZBzPUCrdWAfI2WixXMzoA4,로들리1,262,116,92,False,False,False,False,5TL8KV43sLNvABKA-tIpX8F5PuGZkNKs7XXUNx1hKwfkgaI,9
GRANDMASTER,apKows0yXmHwzb7gw7M4qQOY2IST6mKpc-HchAdohEwUiV8,정현심,366,325,304,False,False,True,False,6BzQh6wbQsLoGhrUq93O1zwAsmnh_XdCK4dCIY4KjcItMbVVeO_O3n5S,10
GRANDMASTER,Rde6R0MmTc2M5n_bWgg3-ziEer7V44ygDHja9RlC1iVqfA0,피피피 피지컬2,266,202,177,False,False,True,False,rVKkCnMTmykL0GNGrTQGaXOq03xYajcpdHDGQv9dzgNkTcg,9
GRANDMASTER,Ud68BSyJ_rivYUlumgAIUPcFYCx4YR3Pxeyifh5licOdP-onE6V74tOZbQ,KlCE,322,180,152,False,False,True,False,EzaUxRHzYbeIo1sVjfPkeDoEUwaiMpkNj7LMVlN4sIR_ckwBgMxXC_su,5
