tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,YtMdNUqTPp0rS9raI4uRgzYwN-9nQIbzc_afmi5GBFVQvPo,박 수로이 군,1,272,271,False,False,True,False
MASTER,GkB4RuEjQ-jOtkspLAjPuNmcT8x1iWnuBZ9nuk_hufr5vM44of7vWg1-6g,uni5mydad,195,220,201,False,False,False,True
MASTER,TRFI2aoKVOBl4dqBs4EcLfuOFttp8ZGbiRhnFSQc97Inlg,달걀콩콩,50,78,69,False,False,False,False
MASTER,eqeGLZbZeEWyhiOAXwO5NB-PupfiSn5ce91hnC82gGvodig,I Love YeonHee,53,218,200,False,False,True,True
MASTER,SZCFd7trl-yEW53vtAdmBzyLw6ADjL2IXHcYI6hYLDmZBwI,코롱롱을이긴사람,75,81,51,False,False,False,False
MASTER,jJJI8LQpF6hV6l0oL5xOz0ITmhHed421nJ08ZfsEE6GMak_Q4J-WrGHXZw,story start,206,339,283,True,False,False,False
MASTER,-xvYxDwpsrJ-2Q0Rh4p-i7NEMhNpaUhAK4ZfSVoy2-mBZdg,애기소연찡,57,119,63,False,False,True,True
MASTER,w4gVhZB53c6ivzFsf6IHBNie6-KhdyFyCSOWCDaESdWgSNBq,문효준,35,99,71,False,False,False,False
MASTER,JxOWbUbqT2aScCtzjIpIBeO1GNmu2PPu1tsyKWfqV5JxOaw,무지성으로 던짐,110,354,349,False,False,True,False
MASTER,GNHtTTYrG90g7qhCNbxlA3HZ6z2hDwzA_rJ8BnDpkrEIpNoq7aL9OjXvRg,taliya baby,150,115,79,False,False,False,False
MASTER,5_Bx9-KsRCBvee0XFpE3xjpRXRgVnPhnWiSqwBqIQ1SPXgc,유다해,19,300,218,False,False,False,False
MASTER,ODls-82A0VVUfJ2ynvqyrm013CXI-ZTf3vyOuH2QMj9QWA,조광희2,34,88,51,False,False,True,False
MASTER,6uOTQzcJ-izGKd6_FlB56kh7lbik0MIRTSsDF_EdJj_0WxET,DYU Linjie,205,88,63,False,False,False,True
MASTER,pzmPdjdvnP-M_QcMFS_zPQXMvxA67hB08vFLHH5oQn5iUt0,저라뎃 빤쓰도둑,18,468,462,False,False,True,False
MASTER,9XSnkShC3-92RVq4NiwLKFFITB1drtfIKlCW1jA6ZRbuPaJ1ClczastUsQ,FYSYWH,243,221,172,False,False,True,False
MASTER,EdXMpAvjGilW6Hl4OdEFlnWTjZuupIb296htspeAMqn9nZ13Of7DyUfJXQ,haoyune,185,102,58,False,False,True,False
MASTER,9BloELqhdT27fh8xKVgD5wSuiU5igg_ykKahP6dHeKHpsoE,실직자 조,26,30,15,False,False,False,False
MASTER,aByXaz8u6vX3HqrnWSofDlRgHS0vlKPWvBh9Wm26-7GoEBBxAMtow_0cFA,xiaocai04,215,169,137,False,False,True,False
MASTER,oZvGbNrucIAalIuPzRTBgEryyrxaRV0c2XH2lL75uNx74g,Fiatex,1,337,284,False,False,True,True
MASTER,kY3F_PGD845hpEpBpa6B6fP1PbPsqV30EEyCdTfMkBrgPBA,아 몰라 난 아냐,17,348,281,False,False,True,True
MASTER,9pUk6Qfcis45gaotkQSNSMO3LBnXebEAr3GCMhjYWPrCAY0,Gomgomhee,89,113,97,False,False,True,False
MASTER,BLPrbrk2tT3RLiA0DOL6kZjRps_19LdnpX7a_OO1zR276_A,빵사와인직아,20,539,518,False,False,True,False
MASTER,qfBODDoTi8rHuwLiHzOUWXkXZStQw9L-YJiTtTtW7UBtgw,Be Changed,245,53,35,False,False,True,False
MASTER,kfLE9izyc2oNHBstCnPAwe4vaIHwrT7UtJN5dFDituwO03w,pandell,1,333,263,False,False,True,False
MASTER,nK4wH9hyYevbdpwSp2eXHOixsYw-HC-eqS5tqDavyUrWzyc,고속연사포바드,49,230,213,False,False,True,False
MASTER,w1heMj5DW8k1rEm4YACaCGU5NXUbsI6rL7yo40SYQqfUEU0,DY YongYe,37,81,70,False,False,True,False
MASTER,hGMsM4gzRV4-59aHkKjCGG_2z10sWPPrI-zYwnGBvGt_sL3e,동규의다이아탐방,21,270,244,False,False,True,True
MASTER,Kbgnh4u_CXh5wglPyE76THutw0WMw87q8afnW39Sl7Vf-g,Casa de elefante,17,141,132,False,False,False,False
MASTER,JG2UVmK4MQPKJVmhVj1xuZFPFpgwWZw0sBag1VuGJF44fSA,권라챔,0,194,166,False,False,False,False
MASTER,H6lnh3swzoa9bFtAvJN7omBoAYs2QSmzR1R466EpMubia6M,adpadp,49,537,515,False,False,True,True
MASTER,uokg7EAxl5ll0XSJ7ocxNCFvqJvkIig2AtYneXT5fbWJLLZl,난 질수없다1,18,492,489,False,False,True,False
MASTER,HBXD9Q4hrrwXbdtjoNUqQCj5AsX7Q8ptPMmFVVYg-V_Gpy4,윤도여,0,156,143,False,False,True,False
MASTER,UxGCMzWaVdXSPfK4z1Ai3MKVuckf1nmoM-YRGU29LnWAXCkiu5_YjBhepw,YUKIYANAGI,173,318,290,False,False,False,False
MASTER,i-VdszEqOCBuI7hWxiO_Fym1WgYgfoW5H9uIBH3JTkWf3g7_K16vB_F17g,xiao bu dong gap,127,219,165,False,False,True,False
MASTER,Ag1Dapj08xUIW9KqovesFuPL_bjHcCXdlquKDlGGGeJkvG4dX4aXbwIF2A,홍수 분화 ,2,285,259,False,False,True,False
MASTER,bX2GA64Cv-z_F0jLQ_KSO9cuPglg5PFMcNb7bhpT4hJr7vlREOkIL0o74A,작은 처방ovo,82,383,357,False,False,False,False
MASTER,2bF4_MOMX3RgVoURw1otN8F-kvu_LtD7d-AbmrU4mUferlhl,증도태생,214,41,25,False,False,False,False
MASTER,wf761kYHT60MisqhJudWOwPYeLhzJsUISdJ7CRWeWfXIbg,근거가있는플레이,0,248,220,False,False,True,False
MASTER,AR2MHowOkPybKFNRHym84PrkQ6es9Rf-JPWE-Ldii_dVqWA,ottogi 1,167,77,51,False,False,False,True
MASTER,Os6gBeTfpJgl2H56ATOadLlJieQxTLshtEZGC2gmpJx8NJs,갬 성,96,445,440,False,False,True,False
